eft_id,description
459,FDRL/INTERNAL FUND TRANSFE
460,FDRL/INTERNAL FUND TRANSFE
461,INDO GIBL Indiaforensic STL13061
462,INDO GIBL Indiaforensic STL14061
463,FDRL/INTERNAL FUND TRANSFE
464,INDO GIBL Indiaforensic STL17061
465,INDO GIBL Indiaforensic STL16061
466,INDO GIBL Indiaforensic STL15061
467,FDRL/INTERNAL FUND TRANSFE
468,INDO GIBL Indiaforensic STL18061
469,FDRL/INTERNAL FUND TRANSFE
470,INDO GIBL Indiaforensic STL19061
471,FDRL/INTERNAL FUND TRANSFE
472,INDO GIBL Indiaforensic STL20061
473,INDO GIBL Indiaforensic STL21061
474,FDRL/INTERNAL FUND TRANSFE
475,INDO GIBL Indiaforensic STL24061
476,INDO GIBL Indiaforensic STL23061
477,INDO GIBL Indiaforensic STL22061
478,TRF FROM  Indiaforensic SERVICES
479,INDO GIBL Indiaforensic STL25061
480,INDO GIBL Indiaforensic STL26061
481,FDRL/INTERNAL FUND TRANSFE
482,GIBLRBL INC INDO REM27061
483,INDO MFL STL270618
484,Indfor INCOME INDO REMI28061
485,INDO GIBL Indiaforensic STL28061
486,FDRL/INTERNAL FUND TRANSFE
487,Indfor INCOME INDO REMI29061
488,INDO GIBL Indiaforensic STL29061
489,FDRL/INTERNAL FUND TRANSFE
490,Indfor INCOME INDO REMI30061
491,INDO GIBL Indiaforensic STL30061
492,Indfor INCOME INDO REMI01071
493,INDO GIBL Indiaforensic STL01071
494,Indfor INCOME INDO REMI02071
495,INDO GIBL Indiaforensic STL02071
496,FDRL/INTERNAL FUND TRANSFE
497,Indfor INCOME INDO REMI03071
498,INDO GIBL Indiaforensic STL03071
499,Indfor INCOME INDO REMI04071
500,INDO GIBL Indiaforensic STL04071
501,Indfor INCOME INDO REMI05071
502,INDO GIBL Indiaforensic STL05071
503,FDRL/INTERNAL FUND TRANSFE
504,Indfor INCOME INDO REMI06071
505,INDO GIBL Indiaforensic STL06071
506,FDRL/INTERNAL FUND TRANSFE
507,Indfor INCOME INDO REMI08071
508,INDO GIBL Indiaforensic STL08071
509,Indfor INCOME INDO REMI07071
510,INDO GIBL Indiaforensic STL07071
511,FDRL/INTERNAL FUND TRANSFE
512,Indfor INCOME INDO REMI09071
513,INDO GIBL Indiaforensic STL09071
514,FDRL/INTERNAL FUND TRANSFE
515,Indfor INCOME INDO REMI10071
516,INDO GIBL Indiaforensic STL10071
517,FDRL/INTERNAL FUND TRANSFE
518,FDRL/INTERNAL FUND TRANSFE
519,Indfor INCOME INDO REMI11071
520,INDO GIBL Indiaforensic STL11071
521,FDRL/INTERNAL FUND TRANSFE
522,Indfor INCOME INDO REMI12071
523,INDO GIBL Indiaforensic STL12071
524,FDRL/INTERNAL FUND TRANSFE
525,FDRL/INTERNAL FUND TRANSFE
526,Indfor INCOME INDO REMI15071
527,INDO GIBL Indiaforensic STL15071
528,Indfor INCOME INDO REMI14071
529,INDO GIBL Indiaforensic STL14071
530,Indfor INCOME INDO REMI13071
531,INDO GIBL Indiaforensic STL13071
532,FDRL/INTERNAL FUND TRANSFE
533,FDRL/INTERNAL FUND TRANSFE
534,Indfor INCOME INDO REMI16071
535,INDO GIBL Indiaforensic STL16071
536,FDRL/INTERNAL FUND TRANSFE
537,FDRL/INTERNAL FUND TRANSFE
538,Indfor INCOME INDO REMI17071
539,INDO GIBL Indiaforensic STL17071
540,FDRL/INTERNAL FUND TRANSFE
541,FDRL/INTERNAL FUND TRANSFE
542,FDRL/INTERNAL FUND TRANSFE
543,FDRL/INTERNAL FUND TRANSFE
544,FDRL/INTERNAL FUND TRANSFE
545,FDRL/INTERNAL FUND TRANSFE
546,Indfor INCOME INDO REMI18071
547,INDO GIBL Indiaforensic STL18071
548,Indfor INCOME INDO REMI19071
549,INDO GIBL Indiaforensic STL19071
550,FDRL/INTERNAL FUND TRANSFE
551,Indfor INCOME INDO REMI20071
552,INDO GIBL Indiaforensic STL20071
553,FDRL/INTERNAL FUND TRANSFE
554,FDRL/INTERNAL FUND TRANSFE
555,Indfor INCOME INDO REMI22071
556,INDO GIBL Indiaforensic STL22071
557,Indfor INCOME INDO REMI21071
558,INDO GIBL Indiaforensic STL21071
559,Indfor INCOME INDO REMI23071
560,INDO GIBL Indiaforensic STL23071
561,FDRL/INTERNAL FUND TRANSFE
562,Indfor INCOME INDO REMI24071
563,INDO GIBL Indiaforensic STL24071
564,FDRL/INTERNAL FUND TRANSFE
565,FDRL/INTERNAL FUND TRANSFE
566,Indfor INCOME INDO REMI25071
567,INDO GIBL Indiaforensic STL25071
568,FDRL/INTERNAL FUND TRANSFE
569,Indfor INCOME INDO REMI26071
570,INDO GIBL Indiaforensic STL26071
571,FDRL/INTERNAL FUND TRANSFE
572,Indfor INCOME INDO REMI27071
573,INDO GIBL Indiaforensic STL27071
574,Indfor INCOME INDO REMI28071
575,INDO GIBL Indiaforensic STL28071
576,Indfor INCOME INDO REMI30071
577,INDO GIBL Indiaforensic STL30071
578,FDRL/INTERNAL FUND TRANSFE
579,Indfor INCOME INDO REMI31071
580,INDO GIBL Indiaforensic STL31071
581,FDRL/INTERNAL FUND TRANSFE
582,Indfor INCOME INDO REMI01081
583,INDO GIBL Indiaforensic STL01081
584,FDRL/INTERNAL FUND TRANSFE
585,Indfor INCOME INDO REMI02081
586,INDO GIBL Indiaforensic STL02081
587,Indfor INCOME INDO REMI03081
588,INDO GIBL Indiaforensic STL03081
589,Indfor INCOME INDO REMI04081
590,INDO GIBL Indiaforensic STL04081
591,Indfor INCOME INDO REMI05081
592,INDO GIBL Indiaforensic STL05081
593,FDRL/INTERNAL FUND TRANSFE
594,Indfor INCOME INDO REMI06081
595,INDO GIBL Indiaforensic STL06081
596,FDRL/INTERNAL FUND TRANSFE
597,FDRL/INTERNAL FUND TRANSFE
598,Indfor INCOME INDO REMI07081
599,INDO GIBL Indiaforensic STL07081
600,FDRL/INTERNAL FUND TRANSFE
601,Indfor INCOME INDO REMI08081
602,INDO GIBL Indiaforensic STL08081
603,FDRL/INTERNAL FUND TRANSFE
604,Indfor INCOME INDO REMI09081
605,INDO GIBL Indiaforensic STL09081
606,FDRL/INTERNAL FUND TRANSFE
607,Indfor INCOME INDO REMI10081
608,INDO GIBL Indiaforensic STL10081
609,Indfor INCOME INDO REMI11081
610,INDO GIBL Indiaforensic STL11081
611,Indfor INCOME INDO REMI12081
612,INDO GIBL Indiaforensic STL12081
613,Indfor INCOME INDO REMI13081
614,INDO GIBL Indiaforensic STL13081
615,FDRL/INTERNAL FUND TRANSFE
616,Indfor INCOME INDO REMI14081
617,INDO GIBL Indiaforensic STL14081
618,Indfor INCOME INDO REMI15081
619,INDO GIBL Indiaforensic STL15081
620,FDRL/INTERNAL FUND TRANSFE
621,Indfor INCOME INDO REMI16081
622,INDO GIBL Indiaforensic STL16081
623,FDRL/INTERNAL FUND TRANSFE
624,Indfor INCOME INDO REMI17081
625,INDO GIBL Indiaforensic STL17081
626,FDRL/INTERNAL FUND TRANSFE
627,FDRL/INTERNAL FUND TRANSFE
628,Indfor INCOME INDO REMI18081
629,INDO GIBL Indiaforensic STL18081
630,Indfor INCOME INDO REMI19081
631,INDO GIBL Indiaforensic STL19081
632,FDRL/INTERNAL FUND TRANSFE
633,Indfor INCOME INDO REMI20081
634,INDO GIBL Indiaforensic STL20081
635,FDRL/INTERNAL FUND TRANSFE
636,FDRL/INTERNAL FUND TRANSFE
637,Indfor INCOME INDO REMI21081
638,INDO GIBL Indiaforensic STL21081
639,Indfor INCOME INDO REMI22081
640,INDO GIBL Indiaforensic STL22081
641,FDRL/INTERNAL FUND TRANSFE
642,Indfor INCOME INDO REMI23081
643,INDO GIBL Indiaforensic STL23081
644,FDRL/INTERNAL FUND TRANSFE
645,FDRL/INTERNAL FUND TRANSFE
646,Indfor INCOME INDO REMI24081
647,INDO GIBL Indiaforensic STL24081
648,Indfor INCOME INDO REMI25081
649,INDO GIBL Indiaforensic STL25081
650,FDRL/INTERNAL FUND TRANSFE
651,Indfor INCOME INDO REMI27081
652,INDO GIBL Indiaforensic STL27081
653,FDRL/INTERNAL FUND TRANSFE
654,Indfor INCOME INDO REMI28081
