eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
26108,AEPS INC DT 12-18-2018 RO,aeps incorporated dt 12 18 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4664,0.0,0.0,0.5674,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26249,AEPS INC DT 31-12-2018 RO,aeps incorporated dt 31 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4653,0.0,0.0,0.5671,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
25991,AEPS INC DT 07-12-2018 RO,aeps incorporated dt 07 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4651,0.0,0.0,0.567,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26623,AEPS INC DT 30-01-2019 RO,aeps incorporated dt 30 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4639,0.0,0.0,0.5667,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
24082,AEPS GST INC DT 05-09-201,aeps gst incorporated dt 05 09 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4626,0.0,0.0,0.5663,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26235,AEPS INC DT 12-29-2018 RO,aeps incorporated dt 12 29 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4623,0.0,0.0,0.5662,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21603,AEPS GST INC DT 15-05-201,aeps gst incorporated dt 15 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.462,0.0,0.0,0.5661,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
23094,AEPS GST INC DT 05-08-201,aeps gst incorporated dt 05 08 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4618,0.0,0.0,0.566,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26159,AEPS INC DT 12-22-2018 RO,aeps incorporated dt 12 22 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4604,0.0,0.0,0.5656,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21435,AEPS GST INC DT 02-05-201,aeps gst incorporated dt 02 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4604,0.0,0.0,0.5656,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26552,AEPS INC DT 24-01-2019 RO,aeps incorporated dt 24 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4602,0.0,0.0,0.5656,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
